# openaladdin-actor-timeline-v1
# Source state frames 1436..1450 (inclusive).
# Frame numbers are rebased to zero for native replay.
# @frame N followed by: slot type x y movement_pc frame_ptr animation_pc flags facing_x_flip facing_y_flip movement_command_timer movement_loop_pc movement_loop_timer movement_return_pc movement_word_18 movement_word_1a sprite_attribute
@frame 0
7 132 666 895 0x0 0x1ef9a2 0x1245d0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
8 64 560 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
10 64 864 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
@frame 5
0 131 688 880 0x0 0x1ea34a 0x122016 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
3 64 528 800 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
4 31 690 880 0x0 0x1f337a 0x123982 0x20 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
5 132 612 895 0x0 0x1ef9c6 0x1245dc 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
6 64 496 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
7 132 666 895 0x0 0x1ef9a2 0x1245d4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
8 64 560 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
10 64 864 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
@frame 6
0 131 691 880 0x0 0x1ea34a 0x122016 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
3 64 528 800 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
4 31 690 880 0x0 0x1f337a 0x123982 0x20 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
5 132 612 895 0x0 0x1ef9c6 0x1245dc 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
6 64 496 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
7 132 666 895 0x0 0x1ef9a2 0x1245d4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
8 64 560 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
10 64 864 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
@frame 7
0 131 694 880 0x0 0x1ea38c 0x122018 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
3 64 528 800 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
4 31 690 880 0x0 0x1f33ec 0x123984 0x20 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
5 132 612 895 0x0 0x1ef9d8 0x1245dc 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
6 64 496 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
7 132 666 895 0x0 0x1ef9b4 0x1245d4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
8 64 560 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
10 64 864 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
@frame 8
0 131 697 880 0x0 0x1ea38c 0x122018 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
3 64 528 800 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
4 31 690 880 0x0 0x1f33ec 0x123984 0x20 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
5 132 612 895 0x0 0x1ef9d8 0x1245dc 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
6 64 496 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
7 132 666 895 0x0 0x1ef9b4 0x1245d4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
8 64 560 816 0x0 0x1f84a4 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x0 0x6000
